nombre,url,categoria,categoria_url,imagen
ACACIA,http://mbnecuador.com/mbnecuador/releases/acacia/,Rock Alternativo,http://mbnecuador.com/mbnecuador/releases-genre/rock-alternativo/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/03/16473522_1864686840415030_6292888521566667242_n.jpg&a=c&w=420&h=420&q=90
ARMANDO CHILIQUINGA,http://mbnecuador.com/mbnecuador/releases/armando-chiliquinga-2/,Balada,http://mbnecuador.com/mbnecuador/releases-genre/balada/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/08/armando.jpg&a=c&w=420&h=420&q=90
MICHELLE CORDERO,http://mbnecuador.com/mbnecuador/releases/michelle-cordero/,Pop Urbano,http://mbnecuador.com/mbnecuador/releases-genre/pop-urbano/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/08/michelle.jpg&a=c&w=420&h=420&q=90
XANDER CASTRO,http://mbnecuador.com/mbnecuador/releases/xander-castro/,Pop Latino,http://mbnecuador.com/mbnecuador/releases-genre/pop-latino/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/20293085_2036701809689049_2253718172000244986_n.jpg&a=c&w=420&h=420&q=90
PRIMER ENCUENTRO,http://mbnecuador.com/mbnecuador/releases/primer-encuentro/,Pop Rock,http://mbnecuador.com/mbnecuador/releases-genre/pop-rock/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/Primer-Encuentro.png&a=c&w=420&h=420&q=90
MICAELLA CATTANI,http://mbnecuador.com/mbnecuador/releases/micaella-cattani/,Pop Rock,http://mbnecuador.com/mbnecuador/releases-genre/pop-rock/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/18308792_10158802192780195_1604402261_n.png&a=c&w=420&h=420&q=90
JORGE LUIS PERALTA,http://mbnecuador.com/mbnecuador/releases/jorge-luis-peralta/,Pop Latino,http://mbnecuador.com/mbnecuador/releases-genre/pop-latino/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/PORTADA-TU-Y-YO-1024x683-1.jpg&a=c&w=420&h=420&q=90
LACHARD,http://mbnecuador.com/mbnecuador/releases/lachard-2/,Rock,http://mbnecuador.com/mbnecuador/releases-genre/rock/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/Portada-Juan-Calavera.jpg&a=c&w=420&h=420&q=90
ENEMIGOS PÚBLICOS,http://mbnecuador.com/mbnecuador/releases/enemigos-publicos/,Rock,http://mbnecuador.com/mbnecuador/releases-genre/rock/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/JDT_1168-1024x683-1.jpg&a=c&w=420&h=420&q=90
LD DILEMA,http://mbnecuador.com/mbnecuador/releases/ld-dilema/,Cumbia,http://mbnecuador.com/mbnecuador/releases-genre/cumbia/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/DSC08784-1024x768-1.jpg&a=c&w=420&h=420&q=90
MINIMMAL,http://mbnecuador.com/mbnecuador/releases/minimmal/,Pop Rock,http://mbnecuador.com/mbnecuador/releases-genre/pop-rock/,http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/Minimmal-1.jpg
4AM & ROMANO,http://mbnecuador.com/mbnecuador/releases/4am-romano/,Pop Urbano,http://mbnecuador.com/mbnecuador/releases-genre/pop-urbano/,http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/4am.jpg
OSCAR TROYA,http://mbnecuador.com/mbnecuador/releases/oscar-troya/,Electro Pop,http://mbnecuador.com/mbnecuador/releases-genre/electro-pop/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/oscar-troya-1.jpg&a=c&w=420&h=420&q=90
DONJUAN,http://mbnecuador.com/mbnecuador/releases/donjuan/,Pop Rock,http://mbnecuador.com/mbnecuador/releases-genre/pop-rock/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/19358808_1701461879881123_1786184448_o.png&a=c&w=420&h=420&q=90
GO KIDS GO!,http://mbnecuador.com/mbnecuador/releases/go-kids-go/,Rock Alternativo,http://mbnecuador.com/mbnecuador/releases-genre/rock-alternativo/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/Effects.jpg&a=c&w=420&h=420&q=90
ZAIDG,http://mbnecuador.com/mbnecuador/releases/zaidg/,Urbano,http://mbnecuador.com/mbnecuador/releases-genre/urbano/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/ZAID-copia.jpg&a=c&w=420&h=420&q=90
RIVI ARTIST,http://mbnecuador.com/mbnecuador/releases/rivi-artist/,Electro,http://mbnecuador.com/mbnecuador/releases-genre/electro/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/Rivi_sub_sola_M01.jpg&a=c&w=420&h=420&q=90
GABRIELA FRANCO,http://mbnecuador.com/mbnecuador/releases/gabriela-franco/,Pop Rock,http://mbnecuador.com/mbnecuador/releases-genre/pop-rock/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/CARATULA-FUGITIVA-DE-TU-AMOR-.jpg&a=c&w=420&h=420&q=90
NONMIND,http://mbnecuador.com/mbnecuador/releases/nonmind-2/,Metal,http://mbnecuador.com/mbnecuador/releases-genre/metal/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/NONMIND-Facebook.jpg&a=c&w=420&h=420&q=90
CARLOS ZAPATA,http://mbnecuador.com/mbnecuador/releases/carlos-zapata-2/,Pop Urbano,http://mbnecuador.com/mbnecuador/releases-genre/pop-urbano/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/mbn-1.jpg&a=c&w=420&h=420&q=90
JAIME ENRIQUE AYMARA,http://mbnecuador.com/mbnecuador/releases/jaime-enrique-aymara/,Cumbia,http://mbnecuador.com/mbnecuador/releases-genre/cumbia/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2016/10/Jaime-Enrique-Aymara.jpg&a=c&w=420&h=420&q=90
METAMORFOSIS,http://mbnecuador.com/mbnecuador/releases/metamorfosis/,Heavy Metal,http://mbnecuador.com/mbnecuador/releases-genre/heavy-metal-2/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/metamorfosis-2.jpg&a=c&w=420&h=420&q=90
JOHANN VERA,http://mbnecuador.com/mbnecuador/releases/johann-vera/,Balada,http://mbnecuador.com/mbnecuador/releases-genre/balada/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/07/JohannVera-Vuelo-a-Paris-cover-art.jpg&a=c&w=420&h=420&q=90
DAMIANO,http://mbnecuador.com/mbnecuador/releases/damiano/,Pop Soft,http://mbnecuador.com/mbnecuador/releases-genre/pop-soft/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2016/02/19904903_1366655006783638_6202017330723481368_n.jpg&a=c&w=420&h=420&q=90
